Node Name 	Event Type	Timestamp      		Packet Type		Seq. No   	Source    	Dest      
CLIENT    	R         	15:31:11.517148		ACK       		900       	RELAY1    	CLIENT    
RELAY1    	R         	15:31:11.516916		DATA      		1100      	CLIENT    	RELAY1    
RELAY2    	R         	15:31:11.518307		ACK       		800       	SERVER    	RELAY2    
SERVER    	S         	15:31:11.519214		ACK       		800       	SERVER    	RELAY2    
RELAY1    	S         	15:31:11.522299		DATA      		1100      	RELAY1    	SERVER    
RELAY2    	S         	15:31:11.522820		ACK       		800       	RELAY2    	CLIENT    
SERVER    	R         	15:31:11.524890		DATA      		1100      	RELAY1    	SERVER    
CLIENT    	R         	15:31:11.525440		ACK       		800       	RELAY2    	CLIENT    
RELAY2    	R         	15:31:11.530770		DATA      		1200      	CLIENT    	RELAY2    
CLIENT    	S         	15:31:11.531524		DATA      		1200      	CLIENT    	RELAY2    
RELAY1    	R         	15:31:11.532230		ACK       		1100      	SERVER    	RELAY1    
SERVER    	S         	15:31:11.535338		ACK       		1100      	SERVER    	RELAY1    
RELAY2    	S         	15:31:11.535343		DATA      		1200      	RELAY2    	SERVER    
RELAY1    	S         	15:31:11.536313		ACK       		1100      	RELAY1    	CLIENT    
CLIENT    	S         	15:31:11.536450		DATA      		1300      	CLIENT    	RELAY1    
SERVER    	R         	15:31:11.541422		DATA      		1200      	RELAY2    	SERVER    
RELAY1    	R         	15:31:11.541334		DATA      		1300      	CLIENT    	RELAY1    
CLIENT    	R         	15:31:11.542336		ACK       		1100      	RELAY1    	CLIENT    
SERVER    	S         	15:31:11.548745		ACK       		1200      	SERVER    	RELAY2    
RELAY2    	R         	15:31:11.550613		ACK       		1200      	SERVER    	RELAY2    
RELAY1    	S         	15:31:11.550637		DATA      		1300      	RELAY1    	SERVER    
SERVER    	R         	15:31:11.551185		DATA      		1300      	RELAY1    	SERVER    
RELAY2    	S         	15:31:11.554083		ACK       		1200      	RELAY2    	CLIENT    
CLIENT    	R         	15:31:11.555093		ACK       		1200      	RELAY2    	CLIENT    
SERVER    	S         	15:31:11.555673		ACK       		1300      	SERVER    	RELAY1    
RELAY1    	R         	15:31:11.555881		ACK       		1300      	SERVER    	RELAY1    
RELAY1    	S         	15:31:11.563167		ACK       		1300      	RELAY1    	CLIENT    
CLIENT    	R         	15:31:11.564160		ACK       		1300      	RELAY1    	CLIENT    
CLIENT    	S         	15:31:13.488116		DATA      		1000      	CLIENT    	RELAY2    
RELAY2    	R         	15:31:13.488112		DATA      		1000      	CLIENT    	RELAY2    
SERVER    	R         	15:31:13.492324		DATA      		1000      	RELAY2    	SERVER    
RELAY2    	S         	15:31:13.492252		DATA      		1000      	RELAY2    	SERVER    
SERVER    	S         	15:31:13.495302		ACK       		1000      	SERVER    	RELAY2    
RELAY2    	R         	15:31:13.495309		ACK       		1000      	SERVER    	RELAY2    
CLIENT    	R         	15:31:13.497184		ACK       		1000      	RELAY2    	CLIENT    
RELAY2    	S         	15:31:13.497766		ACK       		1000      	RELAY2    	CLIENT    
CLIENT    	S         	15:31:13.499290		DATA      		1400      	CLIENT    	RELAY2    
RELAY2    	R         	15:31:13.500844		DATA      		1400      	CLIENT    	RELAY2    
CLIENT    	S         	15:31:13.503382		DATA      		1500      	CLIENT    	RELAY1    
RELAY1    	R         	15:31:13.503163		DATA      		1500      	CLIENT    	RELAY1    
SERVER    	R         	15:31:13.507143		DATA      		1400      	RELAY2    	SERVER    
CLIENT    	S         	15:31:13.507175		DATA      		1600      	CLIENT    	RELAY2    
RELAY2    	S         	15:31:13.507478		DATA      		1400      	RELAY2    	SERVER    
RELAY1    	S         	15:31:13.508125		DATA      		1500      	RELAY1    	SERVER    
RELAY1    	R         	15:31:13.510621		DATA      		1700      	CLIENT    	RELAY1    
CLIENT    	S         	15:31:13.513327		DATA      		1700      	CLIENT    	RELAY1    
SERVER    	S         	15:31:13.513120		ACK       		1400      	SERVER    	RELAY2    
RELAY2    	R         	15:31:13.517227		DATA      		1600      	CLIENT    	RELAY2    
SERVER    	R         	15:31:13.518381		DATA      		1500      	RELAY1    	SERVER    
RELAY1    	S         	15:31:13.519174		DATA      		1700      	RELAY1    	SERVER    
RELAY2    	R         	15:31:13.520702		ACK       		1400      	SERVER    	RELAY2    
SERVER    	S         	15:31:13.523607		ACK       		1500      	SERVER    	RELAY1    
